FIPS,Geographic Area Name,Gini Index
30019,"Daniels County, Montana",0.434
72073,"Jayuya Municipio, Puerto Rico",0.502
24023,"Garrett County, Maryland",0.433
39173,"Wood County, Ohio",0.438
30079,"Prairie County, Montana",0.42
08011,"Bent County, Colorado",0.412
13081,"Crisp County, Georgia",0.471
04027,"Yuma County, Arizona",0.423
22019,"Calcasieu Parish, Louisiana",0.468
20157,"Republic County, Kansas",0.451
37011,"Avery County, North Carolina",0.529
49015,"Emery County, Utah",0.341
54011,"Cabell County, West Virginia",0.481
05081,"Little River County, Arkansas",0.43
26049,"Genesee County, Michigan",0.439
18153,"Sullivan County, Indiana",0.403
72077,"Juncos Municipio, Puerto Rico",0.512
20119,"Meade County, Kansas",0.441
31139,"Pierce County, Nebraska",0.352
06047,"Merced County, California",0.46
27025,"Chisago County, Minnesota",0.349
48219,"Hockley County, Texas",0.433
50011,"Franklin County, Vermont",0.386
51036,"Charles City County, Virginia",0.409
21029,"Bullitt County, Kentucky",0.378
13057,"Cherokee County, Georgia",0.41
21171,"Monroe County, Kentucky",0.465
27075,"Lake County, Minnesota",0.397
28023,"Clarke County, Mississippi",0.447
42053,"Forest County, Pennsylvania",0.399
48293,"Limestone County, Texas",0.411
51185,"Tazewell County, Virginia",0.436
47149,"Rutherford County, Tennessee",0.402
05147,"Woodruff County, Arkansas",0.51
48129,"Donley County, Texas",0.409
16017,"Bonner County, Idaho",0.439
06109,"Tuolumne County, California",0.433
28037,"Franklin County, Mississippi",0.555
29131,"Miller County, Missouri",0.402
05105,"Perry County, Arkansas",0.39
19019,"Buchanan County, Iowa",0.379
31077,"Greeley County, Nebraska",0.387
29049,"Clinton County, Missouri",0.373
06043,"Mariposa County, California",0.428
22095,"St. John the Baptist Parish, Louisiana",0.421
29139,"Montgomery County, Missouri",0.399
48321,"Matagorda County, Texas",0.469
28103,"Noxubee County, Mississippi",0.487
53051,"Pend Oreille County, Washington",0.474
36071,"Orange County, New York",0.408
13103,"Effingham County, Georgia",0.388
42013,"Blair County, Pennsylvania",0.443
72089,"Luquillo Municipio, Puerto Rico",0.508
51121,"Montgomery County, Virginia",0.471
17089,"Kane County, Illinois",0.421
21159,"Martin County, Kentucky",0.463
26003,"Alger County, Michigan",0.418
37171,"Surry County, North Carolina",0.445
24027,"Howard County, Maryland",0.39
53025,"Grant County, Washington",0.427
13061,"Clay County, Georgia",0.422
21163,"Meade County, Kentucky",0.377
18015,"Carroll County, Indiana",0.397
51075,"Goochland County, Virginia",0.508
42047,"Elk County, Pennsylvania",0.387
13141,"Hancock County, Georgia",0.424
21149,"McLean County, Kentucky",0.442
39141,"Ross County, Ohio",0.437
72047,"Corozal Municipio, Puerto Rico",0.533
31145,"Red Willow County, Nebraska",0.4
48501,"Yoakum County, Texas",0.435
51167,"Russell County, Virginia",0.428
54099,"Wayne County, West Virginia",0.439
51157,"Rappahannock County, Virginia",0.48
27159,"Wadena County, Minnesota",0.423
45061,"Lee County, South Carolina",0.473
37005,"Alleghany County, North Carolina",0.476
48329,"Midland County, Texas",0.503
48025,"Bee County, Texas",0.476
47051,"Franklin County, Tennessee",0.427
27097,"Morrison County, Minnesota",0.407
38089,"Stark County, North Dakota",0.422
35045,"San Juan County, New Mexico",0.449
48125,"Dickens County, Texas",0.478
20159,"Rice County, Kansas",0.384
48481,"Wharton County, Texas",0.46
47139,"Polk County, Tennessee",0.428
21167,"Mercer County, Kentucky",0.427
20161,"Riley County, Kansas",0.474
27007,"Beltrami County, Minnesota",0.429
51800,"Suffolk city, Virginia",0.415
53015,"Cowlitz County, Washington",0.42
17125,"Mason County, Illinois",0.424
48383,"Reagan County, Texas",0.349
12107,"Putnam County, Florida",0.45
17005,"Bond County, Illinois",0.414
19125,"Marion County, Iowa",0.397
17025,"Clay County, Illinois",0.436
48269,"King County, Texas",0.415
56021,"Laramie County, Wyoming",0.415
09009,"New Haven County, Connecticut",0.457
36009,"Cattaraugus County, New York",0.405
48387,"Red River County, Texas",0.409
02270,"Wade Hampton Census Area, Alaska",0.408
18109,"Morgan County, Indiana",0.388
48003,"Andrews County, Texas",0.531
05103,"Ouachita County, Arkansas",0.451
05119,"Pulaski County, Arkansas",0.482
37137,"Pamlico County, North Carolina",0.433
13113,"Fayette County, Georgia",0.395
05127,"Scott County, Arkansas",0.438
28127,"Simpson County, Mississippi",0.444
29199,"Scotland County, Missouri",0.445
21011,"Bath County, Kentucky",0.461
29057,"Dade County, Missouri",0.411
55075,"Marinette County, Wisconsin",0.43
29159,"Pettis County, Missouri",0.424
29165,"Platte County, Missouri",0.408
51111,"Lunenburg County, Virginia",0.392
17077,"Jackson County, Illinois",0.509
41029,"Jackson County, Oregon",0.442
51570,"Colonial Heights city, Virginia",0.381
19049,"Dallas County, Iowa",0.415
45081,"Saluda County, South Carolina",0.417
39079,"Jackson County, Ohio",0.457
31023,"Butler County, Nebraska",0.357
