FIPS,NAME,25 and above with bachelors degree,High school graduate or higher,Bachelorsorhigher
13155,"Irwin County, Georgia",4.1,70.3,9.2
13157,"Jackson County, Georgia",10.1,78.9,17.7
13159,"Jasper County, Georgia",7.6,78.3,13.3
13161,"Jeff Davis County, Georgia",7.9,75.2,11.5
13163,"Jefferson County, Georgia",6.2,72.6,8.7
13165,"Jenkins County, Georgia",7.9,70.6,12.8
13167,"Johnson County, Georgia",6.1,65.5,8.9
13169,"Jones County, Georgia",11.3,85.4,17.2
13171,"Lamar County, Georgia",5.9,76.2,9.7
13173,"Lanier County, Georgia",5.5,76.8,9.4
13175,"Laurens County, Georgia",9.3,79.6,15.9
13177,"Lee County, Georgia",10.4,83.4,19.2
13179,"Liberty County, Georgia",10.8,88.7,16.3
13181,"Lincoln County, Georgia",6.4,77.4,9.7
13183,"Long County, Georgia",7.6,78.7,9.1
13185,"Lowndes County, Georgia",14,82.9,22.3
13187,"Lumpkin County, Georgia",12.7,80.9,19.5
13189,"McDuffie County, Georgia",7.3,70.1,11.5
13191,"McIntosh County, Georgia",8.7,75.1,15
13193,"Macon County, Georgia",5.9,67.5,10.7
13195,"Madison County, Georgia",7.8,72.9,12.9
13197,"Marion County, Georgia",3.9,80.2,6.8
13199,"Meriwether County, Georgia",5.8,72.8,9.7
13201,"Miller County, Georgia",5.5,73.4,9.4
13205,"Mitchell County, Georgia",6.6,66,9.6
13207,"Monroe County, Georgia",12,80.7,19
13209,"Montgomery County, Georgia",9.9,81.3,15.5
13211,"Morgan County, Georgia",15.2,78.9,23.8
13213,"Murray County, Georgia",3.6,66.2,6.7
13215,"Muscogee County, Georgia",13.4,83.8,21.6
13217,"Newton County, Georgia",12.6,83.4,19.4
13219,"Oconee County, Georgia",21.9,88.7,44.9
13221,"Oglethorpe County, Georgia",5.6,75.7,11.7
13223,"Paulding County, Georgia",15,85.9,20.8
13225,"Peach County, Georgia",11.7,80.1,18
13227,"Pickens County, Georgia",14.7,79.3,22
13229,"Pierce County, Georgia",4.9,77.4,8.8
13231,"Pike County, Georgia",9.7,83,15.7
13233,"Polk County, Georgia",6.5,71.6,11.4
13235,"Pulaski County, Georgia",3.7,77.2,5.6
13237,"Putnam County, Georgia",12.1,80.4,18.8
13239,"Quitman County, Georgia",6.8,66.5,7.4
13241,"Rabun County, Georgia",15.5,80.5,24.7
13243,"Randolph County, Georgia",6.9,70.4,13.1
13245,"Richmond County, Georgia",12.8,82.3,20.3
13247,"Rockdale County, Georgia",15.1,84.8,23.6
13249,"Schley County, Georgia",5.7,71.4,8.7
13251,"Screven County, Georgia",7,74.7,11.4
13253,"Seminole County, Georgia",6.1,77,10.3
13255,"Spalding County, Georgia",8.9,74.8,13.6
13257,"Stephens County, Georgia",7.8,74.8,13.3
13259,"Stewart County, Georgia",6.4,70.4,11
13261,"Sumter County, Georgia",11.2,75.4,18.9
13263,"Talbot County, Georgia",5.1,78.7,10.9
13265,"Taliaferro County, Georgia",4.5,58.4,6.8
13267,"Tattnall County, Georgia",7.1,74,11.9
13269,"Taylor County, Georgia",5.4,63.5,7.4
13271,"Telfair County, Georgia",4.3,68.9,8.1
13273,"Terrell County, Georgia",4.6,65.8,9.9
13275,"Thomas County, Georgia",12.1,81.4,19.6
13277,"Tift County, Georgia",9.2,75.9,16.3
13279,"Toombs County, Georgia",8.9,80.1,14.3
13281,"Towns County, Georgia",12.4,86.5,20.8
13283,"Treutlen County, Georgia",7.5,73,9.9
13285,"Troup County, Georgia",12.5,79.3,19.4
13287,"Turner County, Georgia",7.2,68.5,13.2
13289,"Twiggs County, Georgia",5.4,61.4,6.7
13291,"Union County, Georgia",13.4,82.9,21.6
13293,"Upson County, Georgia",7,76.1,11.3
13295,"Walker County, Georgia",8.7,76.2,12.8
13297,"Walton County, Georgia",12,80.4,17.3
13299,"Ware County, Georgia",6,79.6,12.2
13301,"Warren County, Georgia",3.2,69.6,4.7
13303,"Washington County, Georgia",7.1,74.8,10.7
13305,"Wayne County, Georgia",7.1,77.9,10.9
13307,"Webster County, Georgia",4.1,78.1,7.9
13309,"Wheeler County, Georgia",5.8,69.7,8.6
13311,"White County, Georgia",10.4,83.3,19.6
13313,"Whitfield County, Georgia",9.5,67.4,15.1
13315,"Wilcox County, Georgia",6.9,73,8.8
13317,"Wilkes County, Georgia",8.4,71.8,15.5
13319,"Wilkinson County, Georgia",8.7,79.2,12.1
13321,"Worth County, Georgia",5.9,73.6,9.4
15001,"Hawaii County, Hawaii",18.5,90.5,26.6
15003,"Honolulu County, Hawaii",20.5,89.9,31.1
15005,"Kalawao County, Hawaii",6.8,79.7,24.3
15007,"Kauai County, Hawaii",15.9,88.3,22.7
15009,"Maui County, Hawaii",17.5,88.7,25.7
16001,"Ada County, Idaho",23.9,92.9,35
16003,"Adams County, Idaho",13.8,88.4,21.3
16005,"Bannock County, Idaho",18.4,90.5,27.3
16007,"Bear Lake County, Idaho",12.9,90.4,16.7
16009,"Benewah County, Idaho",7.9,87.2,12.1
16011,"Bingham County, Idaho",11.9,84.6,15.9
16013,"Blaine County, Idaho",29.4,92,43.2
16015,"Boise County, Idaho",15.8,87.2,23.9
16017,"Bonner County, Idaho",14.9,91,22.5
