FIPS,County,car.alone,carpooled,public transportation,walk,other mean,mean travel time
1001,"Autauga County, Alabama",86.9,9.2,0.3,0.8,0.8,25.1
1003,"Baldwin County, Alabama",83.5,10.5,0.3,1.4,1,25.8
1005,"Barbour County, Alabama",79,14.8,0.3,2.3,1.7,23.8
1007,"Bibb County, Alabama",85,10.5,0.5,0.9,1.2,28.3
1009,"Blount County, Alabama",80.6,14.3,0.1,1.5,0.3,33.2
1011,"Bullock County, Alabama",81.8,14.8,0,1.8,1.4,28.1
1013,"Butler County, Alabama",87.7,8.9,0.4,0.6,1.5,25.1
1015,"Calhoun County, Alabama",85.9,9.5,0.3,1,1.6,22.1
1017,"Chambers County, Alabama",82.4,12.4,0.2,0.6,1.2,23.6
1019,"Cherokee County, Alabama",77.9,16.9,0,0.5,3,26.2
1021,"Chilton County, Alabama",80.9,15.5,0.1,1,0.9,32
1023,"Choctaw County, Alabama",79.2,15.2,0.2,0.9,1.4,34.8
1025,"Clarke County, Alabama",90.1,6.9,0.3,0.7,0.9,25.1
1027,"Clay County, Alabama",79.3,14.4,0.2,1,0.3,27.3
1029,"Cleburne County, Alabama",79.2,13.6,0,2,1.3,29.1
1031,"Coffee County, Alabama",84.6,9.8,0.1,1.6,1.7,20.7
1033,"Colbert County, Alabama",85.5,10.4,0.2,1.3,1.1,22.7
1035,"Conecuh County, Alabama",86.4,12.7,0,0,0.5,25.2
1037,"Coosa County, Alabama",78.8,13.3,0.8,0.6,1.4,30.2
1039,"Covington County, Alabama",79.5,11.7,0,1.9,4.1,20.8
1041,"Crenshaw County, Alabama",80.4,11.8,0,1.4,1.5,27.4
1043,"Cullman County, Alabama",80.2,15.3,0.1,0.9,0.9,27.4
1045,"Dale County, Alabama",82.5,10.8,0.3,2.9,1.3,20
1047,"Dallas County, Alabama",84.2,11.7,0.1,1.4,1.7,24.7
1049,"DeKalb County, Alabama",81.4,13.7,0.1,1.4,0.9,23.1
1051,"Elmore County, Alabama",84.4,11.4,0.2,0.9,0.8,27.5
1053,"Escambia County, Alabama",81.7,11.7,0.3,1.1,1.4,24.6
1055,"Etowah County, Alabama",84.9,10.7,0.1,0.8,0.4,23.6
1057,"Fayette County, Alabama",85.6,11.2,0.2,1.5,0.3,27.2
1059,"Franklin County, Alabama",79.5,16.6,0.2,0.9,1.5,24.4
1061,"Geneva County, Alabama",84.7,10,0,0.8,1,26.1
1063,"Greene County, Alabama",72.7,17.2,2.8,4.2,1.5,25.1
1065,"Hale County, Alabama",79.6,14.5,0.5,2,0.9,28
1067,"Henry County, Alabama",88.6,5.3,0.4,0.3,2,23.3
1069,"Houston County, Alabama",87,8.4,0.3,0.6,1.9,19.7
1071,"Jackson County, Alabama",86.1,10.5,0.2,1,0.7,26.2
1073,"Jefferson County, Alabama",83.5,11.2,1.1,1.2,0.6,23.3
1075,"Lamar County, Alabama",85.4,8.3,0.5,1.7,0.1,25.5
1077,"Lauderdale County, Alabama",86.2,10.1,0,1.3,0.4,23.5
1079,"Lawrence County, Alabama",86.4,10.4,0,0.8,0.8,26.1
1081,"Lee County, Alabama",80.1,11.8,0.9,2.5,1.9,20.3
1083,"Limestone County, Alabama",86,10,0.2,0.7,1.1,25
1085,"Lowndes County, Alabama",78.6,13.5,1,0.6,0.9,35.4
1087,"Macon County, Alabama",75.5,14.6,0.1,6.4,1.3,22.8
1089,"Madison County, Alabama",85,9.6,0.4,1.3,1,20.8
1091,"Marengo County, Alabama",83,12.5,0,1.7,1,21.1
1093,"Marion County, Alabama",83.8,11.7,0.4,1.1,1.3,23.7
1095,"Marshall County, Alabama",79.8,15,0.1,1.1,1.1,24.4
