FIPS,State,County,Bachelorsorhigher
1001,AL,Autauga,21.7
1003,AL,Baldwin,26.8
1005,AL,Barbour,13.5
1007,AL,Bibb,10
1009,AL,Blount,12.5
1011,AL,Bullock,12
1013,AL,Butler,11
1015,AL,Calhoun,16.1
1017,AL,Chambers,10.8
1019,AL,Cherokee,10.5
1021,AL,Chilton,12.2
1023,AL,Choctaw,10.9
1025,AL,Clarke,13.5
1027,AL,Clay,9.5
1029,AL,Cleburne,8.4
1031,AL,Coffee,22.1
1033,AL,Colbert,16.4
1035,AL,Conecuh,9.7
1037,AL,Coosa,10.6
1039,AL,Covington,13.1
1041,AL,Crenshaw,10.1
1043,AL,Cullman,13.8
1045,AL,Dale,17.5
1047,AL,Dallas,14.3
1049,AL,DeKalb,10.9
1051,AL,Elmore,20.2
1053,AL,Escambia,10.9
1055,AL,Etowah,15.8
1057,AL,Fayette,9.5
1059,AL,Franklin,11.8
1061,AL,Geneva,8
1063,AL,Greene,9.9
1065,AL,Hale,10
1067,AL,Henry,15
1069,AL,Houston,19
1071,AL,Jackson,12
1073,AL,Jefferson,28.8
1075,AL,Lamar,9.2
1077,AL,Lauderdale,21.5
1079,AL,Lawrence,10.7
1081,AL,Lee,30.9
1083,AL,Limestone,20.8
1085,AL,Lowndes,12.7
1087,AL,Macon,20.9
1089,AL,Madison,37.4
1091,AL,Marengo,17.9
1093,AL,Marion,8.8
1095,AL,Marshall,14.5
1097,AL,Mobile,19.8
1099,AL,Monroe,11.2
1101,AL,Montgomery,30.5
1103,AL,Morgan,19.1
1105,AL,Perry,13.3
1107,AL,Pickens,11.5
1109,AL,Pike,23.7
1111,AL,Randolph,12.2
1113,AL,Russell,11.9
1115,AL,St. Clair,14.5
1117,AL,Shelby,39.6
1119,AL,Sumter,12.8
1121,AL,Talladega,11.9
1123,AL,Tallapoosa,15.7
1125,AL,Tuscaloosa,26.2
1127,AL,Walker,9.7
1129,AL,Washington,9.3
1131,AL,Wilcox,13.2
1133,AL,Winston,11.1
4001,AZ,Apache,10.3
4003,AZ,Cochise,21.4
4005,AZ,Coconino,31.1
4007,AZ,Gila,15
4009,AZ,Graham,13.4
4011,AZ,Greenlee,13.4
4012,AZ,La Paz,9
4013,AZ,Maricopa,29
4015,AZ,Mohave,12
