FIPS,NAME,housing_units,occupied_housing_units,vacant_housing_units
13155,"Irwin County, Georgia",4065,3339,726
13157,"Jackson County, Georgia",23306,20917,2389
13159,"Jasper County, Georgia",6073,4998,1075
13161,"Jeff Davis County, Georgia",6340,5567,773
13163,"Jefferson County, Georgia",7327,6281,1046
13165,"Jenkins County, Georgia",4421,3125,1296
13167,"Johnson County, Georgia",4036,3334,702
13169,"Jones County, Georgia",11473,10238,1235
13171,"Lamar County, Georgia",7371,6377,994
13173,"Lanier County, Georgia",3983,3308,675
13175,"Laurens County, Georgia",21164,17669,3495
13177,"Lee County, Georgia",10327,9555,772
13179,"Liberty County, Georgia",25894,22626,3268
13181,"Lincoln County, Georgia",4771,3435,1336
13183,"Long County, Georgia",5544,4553,991
13185,"Lowndes County, Georgia",42519,38358,4161
13187,"Lumpkin County, Georgia",12321,10863,1458
13189,"McDuffie County, Georgia",9314,8283,1031
13191,"McIntosh County, Georgia",8586,5687,2899
13193,"Macon County, Georgia",6053,4735,1318
13195,"Madison County, Georgia",11674,9430,2244
13197,"Marion County, Georgia",3975,3171,804
13199,"Meriwether County, Georgia",9993,8453,1540
13201,"Miller County, Georgia",2802,2577,225
13205,"Mitchell County, Georgia",9049,8170,879
13207,"Monroe County, Georgia",10298,9206,1092
13209,"Montgomery County, Georgia",3895,3294,601
13211,"Morgan County, Georgia",7404,6529,875
13213,"Murray County, Georgia",15947,14248,1699
13215,"Muscogee County, Georgia",82213,72124,10089
13217,"Newton County, Georgia",37524,33536,3988
13219,"Oconee County, Georgia",12134,11155,979
13221,"Oglethorpe County, Georgia",6356,4701,1655
13223,"Paulding County, Georgia",50439,46440,3999
13225,"Peach County, Georgia",10768,9016,1752
13227,"Pickens County, Georgia",13585,11268,2317
13229,"Pierce County, Georgia",7787,6771,1016
13231,"Pike County, Georgia",6659,5957,702
13233,"Polk County, Georgia",16822,14623,2199
13235,"Pulaski County, Georgia",5069,4188,881
13237,"Putnam County, Georgia",12604,8467,4137
13239,"Quitman County, Georgia",1885,1015,870
13241,"Rabun County, Georgia",12210,7148,5062
13243,"Randolph County, Georgia",4014,2952,1062
13245,"Richmond County, Georgia",86097,74199,11898
13247,"Rockdale County, Georgia",32514,28561,3953
13249,"Schley County, Georgia",2203,1690,513
13251,"Screven County, Georgia",6825,4709,2116
13253,"Seminole County, Georgia",4820,3147,1673
13255,"Spalding County, Georgia",26435,23105,3330
13257,"Stephens County, Georgia",12535,9307,3228
13259,"Stewart County, Georgia",2736,2248,488
13261,"Sumter County, Georgia",13958,11508,2450
13263,"Talbot County, Georgia",3344,2682,662
13265,"Taliaferro County, Georgia",1085,741,344
13267,"Tattnall County, Georgia",9748,7750,1998
13269,"Taylor County, Georgia",4491,3430,1061
13271,"Telfair County, Georgia",6886,5681,1205
13273,"Terrell County, Georgia",4176,3457,719
13275,"Thomas County, Georgia",19930,17399,2531
13277,"Tift County, Georgia",16372,14442,1930
13279,"Toombs County, Georgia",12105,10077,2028
13281,"Towns County, Georgia",7686,4758,2928
13283,"Treutlen County, Georgia",2972,2496,476
13285,"Troup County, Georgia",27478,23690,3788
13287,"Turner County, Georgia",3873,3096,777
13289,"Twiggs County, Georgia",4272,3070,1202
13291,"Union County, Georgia",13714,9471,4243
13293,"Upson County, Georgia",12188,10502,1686
13295,"Walker County, Georgia",29692,25901,3791
13297,"Walton County, Georgia",31898,29147,2751
